;name,id,order,use,rule_id,league,automatch_normal,automatch_rank,option,ui_halftime,ui_team,ui_counttype,ui_missiontext,ui_botmode,ui_pvemode,ui_teamswitch_selection,defaultitem,check_minplayer,check_everyplayerspawn,map_categorize,kad,accuracy,winlose,use_in_channel,roundbase,lua_ref_type,battleboard_type,ui_team_name_ct,ui_team_name_tr,new_mod,update_mod,ui_mod_ex,map_id,ui_mod_set_state
giant,64,64,1,16,0,0,0,autoteambalance(0)/weaponrestrict(0)/winlimit(*3;5;7)/maxplayers(*10;16)/observer(*1),2,1,2,#CSO2_UI_MISSIONTEXT_GIANT,0,0,0,,1,1,0,0,0,0,n1b1m1c0,1,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,#CSO2_UI_MOD_RECOMMEND_GIANT,110,1
z_scenario_side,65,65,1,4,0,0,0,autoteambalance(0)/winlimit(1)/maxplayers(4;*8;10;16)/weaponrestrict(0)/observer(*0)/teamswitch(*0)/difficulty(*1;2;3),0,0,1,#CSO2_UI_MISSIONTEXT_Z_SCENARIO,0,1,0,,2,1,0,0,0,0,n1b1m1c0,0,2,2,#CSO2_TEAM_NAME_HUMAN,#CSO2_TEAM_NAME_ZOMBIE,0,0,#CSO2_UI_MOD_RECOMMEND_Z_SCENARIO,117/116/89,1
hide_multi,66,66,1,6,0,0,0,autoteambalance(0)/winlimit(5;*9;13;17)/weaponrestrict(0)/observer(*1;3)/maxplayers(16;*24;32),0,0,1,#CSO2_UI_MISSIONTEXT_HIDE,0,0,0,,1,1,0,0,0,0,n1b1m1c0,1,0,2,#CSO2_TEAM_NAME_TAGGER,#CSO2_TEAM_NAME_PROP,0,0,#CSO2_UI_MOD_RECOMMEND_HIDE_MULTI,113/88/91/119/83/86/73/93,1
madcity_team,67,67,0,13,0,0,0,autoteambalance(0)/weaponrestrict(0)/winlimit(1)/observer(*1)/maxplayers(16;*24;32;48),2,0,2,#CSO2_UI_MISSIONTEXT_ZOMBIE,0,0,0,,4,1,0,0,0,0,n1b1m1c1,1,0,2,#CSO2_TEAM_NAME_HUMAN,#CSO2_TEAM_NAME_ZOMBIE,0,0,#CSO2_UI_MOD_RECOMMEND_MADCITY_TEAM,114/99/40/100,2
rankmatch_stealth,68,68,0,0,1,0,1,autoteambalance(0;1;*2;3)/winlimit(9)/observer(0)/weaponrestrict(0)/teamswitch(1)/maxplayers(10),1,1,1,#CSO2_UI_MISSIONTEXT_STEALTH,3,0,1,,0,1,1,1,1,1,n1b1m1c1,1,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,#CSO2_UI_MOD_RECOMMEND_STEALTH,4/7/10/17/1/3/2/5/11/12/15/90/79/18/22/23/24/29/41/55/62/66/70/79/84/112,4
madcity,69,61,1,13,0,0,0,autoteambalance(0)/weaponrestrict(0)/winlimit(5;*7;9)/observer(*1)/maxplayers(16;*24;32),2,0,2,#CSO2_UI_MISSIONTEXT_ZOMBIE,0,0,0,,4,1,0,0,0,0,n1b1m1c0,0,0,2,#CSO2_TEAM_NAME_HUMAN,#CSO2_TEAM_NAME_ZOMBIE,0,0,#CSO2_UI_MOD_RECOMMEND_MADCITY,99/40/100/114,2
madcity_team,70,67,1,13,0,0,0,autoteambalance(0)/weaponrestrict(0)/observer(*3)/maxplayers(16;*24;32),2,0,2,#CSO2_UI_MISSIONTEXT_ZOMBIE,1,0,0,,4,1,0,0,0,0,n1b1m1c1,1,0,2,#CSO2_TEAM_NAME_HUMAN,#CSO2_TEAM_NAME_ZOMBIE,0,0,#CSO2_UI_MOD_RECOMMEND_MADCITY_TEAM,114/99/40/100,2
rankmatch_original,71,58,1,0,1,0,1,autoteambalance(0;1;*2;3)/winlimit(9)/observer(*0;1;2)/weaponrestrict(0)/maxplayers(10)/teamswitch(1),1,1,1,#CSO2_UI_MISSIONTEXT_ORIGINAL,3,0,1,1;2;3;4,0,1,1,1,1,1,n1b1m1c1,1,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,#CSO2_UI_MOD_RECOMMEND_RANKMATCH_ORIGINAL,3/12/66/79,4
rankmatch_teamdeath,72,59,1,0,1,1,1,autoteambalance(0;1;*2;3)/killlimit(80)/weaponrestrict(0)/teamswitch(*0)/observer(1)/maxplayers(12)/respawntime(1),0,1,1,#CSO2_UI_MISSIONTEXT_TEAMDEATH,3,0,1,,0,0,0,1,1,1,n1b1m1c0,0,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,#CSO2_UI_MOD_RECOMMEND_RANKMATCH_TEAMDEATH,85/79/42/8/92,4
rankmatch_stealth,73,68,0,0,1,0,1,autoteambalance(0;1;*2;3)/winlimit(9)/observer(*0;1;2)/weaponrestrict(0)/teamswitch(1)/maxplayers(10),1,1,1,#CSO2_UI_MISSIONTEXT_STEALTH,3,0,1,,0,1,1,1,1,1,n1b1m1c1,1,0,0,#CSO2_TEAM_NAME_CT,#CSO2_TEAM_NAME_TR,0,0,#CSO2_UI_MOD_RECOMMEND_STEALTH,4/7/10/17,4
zombie_escape,74,74,1,0,1,1,0,autoteambalance(0)/weaponrestrict(0)/maxplayers(10;16;24;32;50;*65),2,0,2,#CSO2_UI_MISSIONTEXT_ZOMBIE,0,0,0,,1,1,0,0,0,0,n1b1m1c0,1,0,2,#CSO2_TEAM_NAME_HUMAN,#CSO2_TEAM_NAME_ZOMBIE,0,0,#CSO2_UI_MOD_RECOMMEND_ZOMBIE,131/133/136/138/140/141/142/144/145/147/148/149/151/155/156/158,1
